database_name,query,difficulty,uuid,query_short,query_business,query_technical
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для всех платежей на сумму больше 8.00, отсортировав их по сумме по убыванию.",easy,48311c49-4ade-408c-b1d9-99752bbc105d,"Скрипт для формирования списка платежей с суммой больше 8.00, включая идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортированных по сумме по убыванию.","Скрипт для формирования списка платежей клиентов с суммой больше 8.00 с указанием идентификатора платежа, клиента, суммы и даты операции, отсортированного по сумме в порядке убывания.","Скрипт для формирования списка платежей с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отфильтрованных по сумме больше 8.00 и отсортированных по сумме в порядке убывания."
sakila,"Показать 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортировав по сумме по убыванию",easy,1f20ef88-9279-4248-9373-dd67f628e895,"Скрипт для поиска 10 самых крупных платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для поиска 10 крупнейших платежей клиентов с указанием идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по сумме по убыванию","Скрипт для формирования списка 10 самых крупных платежей клиентов с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированного по сумме платежа по убыванию"
sakila,"Показать 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.",easy,58d71401-2b79-4c01-aa27-d796ade816e6,"Скрипт для поиска 20 последних платежей на сумму больше 5.00 с идентификатором клиента, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей на сумму свыше 5.00 с указанием идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей с суммой больше 5.00, с выводом идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым."
sakila,"Показать 20 последних клиентских платежей на сумму более 9.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав их по дате платежа от новых к старым.",easy,bbfd055c-6f48-4e0c-ae14-d3d9255b5335,"Скрипт для поиска 20 последних клиентских платежей на сумму более 9.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних клиентских платежей на сумму более 9.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для отбора 20 последних клиентских платежей с суммой больше 9.00, с выводом идентификатора платежа, клиента, сотрудника, суммы и даты платежа, упорядоченных по дате платежа от новых к старым."
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по сумме по убыванию.",easy,0b31dac1-bbe8-4a24-b1f4-17d4289fcb7c,"Скрипт для поиска 10 крупнейших платежей клиентов за июнь 2005 года с выводом идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по сумме по убыванию.","Скрипт для поиска 10 крупнейших платежей клиентов за июнь 2005 года с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по сумме по убыванию.","Поиск 10 крупнейших платежей клиентов за июнь 2005 года с отбором по дате платежа в пределах месяца, выводом идентификатора платежа, клиента, сотрудника, суммы и даты платежа, и сортировкой по сумме в порядке убывания."
sakila,"Показать 10 самых крупных платежей клиентов с суммой выше 8.00, отсортировав их по сумме убыванию.",easy,97d5fa2e-22af-449d-b670-e2856abadeb9,"Скрипт для поиска 10 крупнейших платежей клиентов с суммой выше 8.00, отсортированных по сумме по убыванию.","Скрипт для поиска 10 крупнейших платежей клиентов с суммой выше 8.00, отсортированных по размеру платежа по убыванию","Скрипт для формирования топ-10 платежей клиентов с суммой более 8.00, отсортированных по величине платежа по убыванию."
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по сумме по убыванию.",easy,71c28807-ed2e-45ae-92e3-f28bf73e3332,"Скрипт для поиска 10 крупнейших платежей клиентов за июнь 2005 года с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по сумме по убыванию.","Скрипт для поиска 10 крупнейших платежей клиентов за июнь 2005 года с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по сумме по убыванию.","Поиск 10 крупнейших платежей клиентов за июнь 2005 года с возвратом идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по сумме в порядке убывания."
sakila,"Показать 10 последних платежей клиентов на сумму больше 8.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа",easy,5f5b0bf9-0d88-4a6d-b2ff-75c698b26343,"Скрипт для поиска 10 последних платежей клиентов на сумму больше 8.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа","Скрипт для поиска 10 последних платежей клиентов с суммой больше 8.00 с выводом идентификатора платежа, клиента, сотрудника, суммы и даты платежа","Скрипт для отбора 10 последних платежей клиентов с суммой более 8.00, отсортированных по дате платежа в порядке убывания, с выводом идентификатора платежа, идентификатора клиента, идентификатора сотрудника, суммы платежа и даты платежа"
sakila,"Показать 10 последних платежей клиентов на сумму больше 8.00, выведя идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,c0ae57a0-0347-4034-b82e-49ec54ecea3e,"Скрипт для поиска 10 последних платежей клиентов на сумму больше 8.00 с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 10 последних платежей клиентов на сумму свыше 8.00 с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для формирования списка 10 последних платежей клиентов с суммой больше 8.00, с выводом идентификатора платежа, идентификатора клиента, суммы и даты платежа, упорядоченных по дате платежа от новых к старым."
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по дате платежа от новых к старым.",easy,3106ec8f-eb54-4d26-8acb-a05aa1e8d771,"Скрипт для поиска 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортированных по дате платежа от новых к старым.","Скрипт для поиска 20 последних платежей клиентов с суммой свыше 8.00, с выводом идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для формирования списка 20 последних платежей клиентов с отбором записей, где сумма платежа превышает 8.00, и с выводом идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по дате платежа от новых к старым."
